country,year,disaster_count,total_damage_usd
AFG,2000,1,91000.0
AFG,2001,2,18000.0
AFG,2002,5,0.0
AFG,2003,8,0.0
AFG,2004,2,0.0
AFG,2005,10,8031000.0
AFG,2006,12,0.0
AFG,2007,7,0.0
AFG,2008,3,0.0
AFG,2009,4,29243000.0
AFG,2010,4,0.0
AFG,2011,4,198026000.0
AFG,2012,10,0.0
AFG,2013,5,0.0
AFG,2014,3,3975000.0
AFG,2015,5,3970000.0
AFG,2016,4,0.0
AFG,2017,5,0.0
AFG,2018,5,0.0
AFG,2019,7,0.0
AFG,2020,7,0.0
AFG,2021,4,0.0
AFG,2022,6,0.0
AFG,2023,3,0.0
AFG,2024,8,0.0
AUS,2000,5,755986000.0
AUS,2001,9,569742000.0
AUS,2002,5,3575051000.0
AUS,2003,10,801451000.0
AUS,2004,6,186835000.0
AUS,2005,4,224876000.0
AUS,2006,8,1995421000.0
AUS,2007,2,2118064000.0
AUS,2008,5,3664275000.0
AUS,2009,6,2207872000.0
AUS,2010,8,14571314000.0
AUS,2011,3,3561681000.0
AUS,2012,2,803371000.0
AUS,2013,3,3185943000.0
AUS,2014,4,1490689000.0
AUS,2015,8,3615767000.0
AUS,2016,3,829944000.0
AUS,2017,3,4107959000.0
AUS,2018,3,1513312000.0
AUS,2019,3,4907956000.0
AUS,2020,3,4726947000.0
AUS,2021,7,3860773000.0
AUS,2022,5,9053042000.0
AUS,2023,6,0.0
AUS,2024,3,570000000.0
BGD,2000,11,910827000.0
BGD,2001,7,0.0
BGD,2002,6,0.0
BGD,2003,6,0.0
BGD,2004,7,3653661000.0
BGD,2005,12,0.0
BGD,2006,7,0.0
BGD,2007,5,3652147000.0
BGD,2008,5,0.0
BGD,2009,6,394785000.0
BGD,2010,6,0.0
BGD,2011,5,0.0
BGD,2012,5,0.0
BGD,2013,3,26931000.0
BGD,2014,4,212009000.0
BGD,2015,7,111172000.0
BGD,2016,3,980249000.0
BGD,2017,5,803675000.0
BGD,2018,4,0.0
BGD,2019,6,99122000.0
BGD,2020,2,2424076000.0
BGD,2021,2,0.0
BGD,2022,2,495741000.0
BGD,2023,4,258403000.0
BGD,2024,6,280300000.0
BOL,2000,4,0.0
BOL,2001,1,214362000.0
BOL,2002,2,174393000.0
BOL,2003,4,1705000.0
BOL,2004,1,0.0
BOL,2005,1,0.0
BOL,2006,2,54462000.0
BOL,2007,3,892612000.0
BOL,2008,2,0.0
BOL,2009,1,0.0
BOL,2010,4,143857000.0
BOL,2011,2,27891000.0
BOL,2012,1,0.0
BOL,2013,5,3366000.0
BOL,2014,3,265011000.0
BOL,2015,2,0.0
BOL,2016,3,588149000.0
BOL,2018,1,0.0
BOL,2019,4,0.0
BOL,2020,3,12120000.0
BOL,2021,7,0.0
BOL,2022,1,0.0
BOL,2023,6,0.0
BOL,2024,5,100000000.0
BRA,2000,5,136624000.0
BRA,2001,5,79721000.0
BRA,2002,5,19183000.0
BRA,2003,5,516681000.0
BRA,2004,5,3322124000.0
BRA,2005,4,0.0
BRA,2006,2,0.0
BRA,2007,5,189113000.0
BRA,2008,5,1617235000.0
BRA,2009,9,1089314000.0
BRA,2010,5,1153736000.0
BRA,2011,8,1397339000.0
BRA,2012,3,2228398000.0
BRA,2013,6,855734000.0
BRA,2014,5,6890296000.0
BRA,2015,6,5294000.0
BRA,2016,2,261400000.0
BRA,2017,1,127974000.0
BRA,2018,3,66209000.0
BRA,2019,8,0.0
BRA,2020,7,4363336000.0
BRA,2021,9,4101565000.0
BRA,2022,12,5510502000.0
BRA,2023,16,3964791000.0
BRA,2024,11,13610000000.0
CAF,2001,1,0.0
CAF,2002,1,0.0
CAF,2003,1,0.0
CAF,2004,1,0.0
CAF,2005,1,0.0
CAF,2007,1,0.0
CAF,2008,1,0.0
CAF,2009,3,0.0
CAF,2010,1,0.0
CAF,2011,2,0.0
CAF,2012,2,0.0
CAF,2013,2,0.0
CAF,2015,1,0.0
CAF,2017,2,0.0
CAF,2019,1,0.0
CAF,2021,1,0.0
CAF,2022,3,0.0
CAF,2023,1,0.0
CAF,2024,1,145000000.0
CAN,2000,1,23682000.0
CAN,2001,2,0.0
CAN,2002,2,0.0
CAN,2003,7,1176599000.0
CAN,2004,4,498226000.0
CAN,2005,5,573434000.0
CAN,2006,5,0.0
CAN,2007,3,0.0
CAN,2008,2,0.0
CAN,2009,3,731083000.0
CAN,2011,3,3207465000.0
CAN,2012,3,1481044000.0
CAN,2013,3,9843297000.0
CAN,2014,2,170932000.0
CAN,2015,1,0.0
CAN,2016,2,5227992000.0
CAN,2017,3,255948000.0
CAN,2018,4,405998000.0
CAN,2019,2,1319013000.0
CAN,2020,2,3030094000.0
CAN,2021,4,2437915000.0
CAN,2022,6,230452000.0
CAN,2023,4,375766000.0
CAN,2024,7,8950000000.0
CHE,2000,1,601146000.0
CHE,2002,2,313907000.0
CHE,2003,2,485987000.0
CHE,2005,2,3373143000.0
CHE,2006,2,0.0
CHE,2007,3,680806000.0
CHE,2009,1,1462167000.0
CHE,2010,2,20140000.0
CHE,2012,2,0.0
CHE,2013,2,336638000.0
CHE,2014,1,0.0
CHE,2018,2,0.0
CHE,2019,2,0.0
CHE,2020,2,0.0
CHE,2021,3,0.0
CHE,2022,1,0.0
CHE,2023,3,0.0
CHE,2024,2,0.0
CHN,2000,23,2494211000.0
CHN,2001,27,7720574000.0
CHN,2002,24,10737012000.0
CHN,2003,16,27057667000.0
CHN,2004,18,6980951000.0
CHN,2005,28,18990436000.0
CHN,2006,30,19383073000.0
CHN,2007,17,11553580000.0
CHN,2008,23,37503821000.0
CHN,2009,24,12740522000.0
CHN,2010,21,31894671000.0
CHN,2011,13,16318625000.0
CHN,2012,22,24875172000.0
CHN,2013,34,36876142000.0
CHN,2014,33,31028821000.0
CHN,2015,31,24404692000.0
CHN,2016,30,58445238000.0
CHN,2017,26,20414250000.0
CHN,2018,20,19044660000.0
CHN,2019,13,21280901000.0
CHN,2020,11,27967770000.0
CHN,2021,12,28471901000.0
CHN,2022,7,14001881000.0
CHN,2023,14,29325169000.0
CHN,2024,18,18842200000.0
