country,year,imf_debt_gdp
AFG,2002,345.97748
AFG,2003,270.60236
AFG,2004,244.96669
AFG,2005,206.35601
AFG,2006,22.984644
AFG,2007,20.136631
AFG,2008,19.057076
AFG,2009,16.247261
AFG,2010,7.6969493
AFG,2011,7.5010844
AFG,2012,6.7594679
AFG,2013,6.9044792
AFG,2014,8.700291
AFG,2015,9.1540829
AFG,2016,8.4372661
AFG,2017,7.9976602
AFG,2018,7.3844129
AFG,2019,6.1363465
AFG,2020,7.3311473
AFG,2021,11.135733
AFG,2022,10.64268
AFG,2023,8.2545202
AGO,1995,138.11549
AGO,1996,91.992365
AGO,1997,73.462418
AGO,1998,96.340929
AGO,1999,104.82732
AGO,2000,118.24254
AGO,2001,100.22145
AGO,2002,65.107033
AGO,2003,50.75988
AGO,2004,41.626647
AGO,2005,29.886387
AGO,2006,16.725864
AGO,2007,18.804413
AGO,2008,28.122021
AGO,2009,48.448006
AGO,2010,32.593691
AGO,2011,26.317854
AGO,2012,23.805354
AGO,2013,29.473055
AGO,2014,35.274186
AGO,2015,50.38582
AGO,2016,66.670005
AGO,2017,60.492126
AGO,2018,82.541362
AGO,2019,101.37285
AGO,2020,119.14542
AGO,2021,74.292159
AGO,2022,56.10816
AGO,2023,71.385301
AGO,2024,62.501396
ALB,1994,24.629863
ALB,1995,29.359587
ALB,1996,34.69009
ALB,1997,51.409342
ALB,1998,57.010236
ALB,1999,57.789526
ALB,2000,63.376463
ALB,2001,60.609729
ALB,2002,64.097401
ALB,2003,60.239905
ALB,2004,57.472884
ALB,2005,58.199553
ALB,2006,56.690318
ALB,2007,53.550124
ALB,2008,55.140209
ALB,2009,59.670183
ALB,2010,57.710251
ALB,2011,59.399813
ALB,2012,62.119953
ALB,2013,65.53
ALB,2014,70.03
ALB,2015,72.670075
ALB,2016,72.380043
ALB,2017,70.119933
ALB,2018,67.610016
ALB,2019,65.729866
ALB,2020,74.299952
ALB,2021,74.488915
ALB,2022,64.461863
ALB,2023,59.130149
ALB,2024,59.22898
ARG,1990,44.74283
ARG,1991,32.934414
ARG,1992,27.768231
ARG,1993,26.892714
ARG,1994,28.425983
ARG,1995,30.74938
ARG,1996,32.550753
ARG,1997,31.675799
ARG,1998,34.14688
ARG,1999,38.916986
ARG,2000,40.832839
ARG,2001,48.006619
ARG,2002,147.20255
ARG,2003,125.16163
ARG,2004,117.87785
ARG,2005,80.281799
ARG,2006,70.79269
ARG,2007,62.132711
ARG,2008,53.813852
ARG,2009,55.39708
ARG,2010,43.454315
ARG,2011,38.934854
ARG,2012,40.436048
ARG,2013,43.49607
ARG,2014,44.69685
ARG,2015,52.562643
ARG,2016,53.06018
ARG,2017,57.027842
ARG,2018,85.24631
ARG,2019,89.839688
ARG,2020,103.81581
ARG,2021,81.042754
ARG,2022,84.462988
ARG,2023,155.41103
ARG,2024,85.334396
ARM,1996,40.791922
ARM,1997,46.514592
ARM,1998,45.200305
ARM,1999,39.200378
ARM,2000,39.597116
ARM,2001,38.061116
ARM,2002,38.247604
ARM,2003,33.015776
ARM,2004,26.445878
ARM,2005,24.404917
ARM,2006,18.725007
ARM,2007,16.101734
ARM,2008,16.145007
ARM,2009,40.161251
ARM,2010,39.66653
ARM,2011,42.006034
ARM,2012,41.225159
ARM,2013,40.856315
ARM,2014,43.689255
ARM,2015,48.70168
ARM,2016,56.748584
ARM,2017,58.937705
ARM,2018,55.651938
ARM,2019,53.673146
ARM,2020,67.361969
