country,income_group,economy_type
AFG,Low income,Least developed
ALB,Upper middle income,Emerging
DZA,Upper middle income,Emerging
ASM,High income,Advanced
AND,High income,Advanced
AGO,Lower middle income,Developing
ATG,High income,Advanced
ARG,Upper middle income,Emerging
ARM,Upper middle income,Emerging
ABW,High income,Advanced
AUS,High income,Advanced
AUT,High income,Advanced
AZE,Upper middle income,Emerging
BHS,High income,Advanced
BHR,High income,Advanced
BGD,Lower middle income,Developing
BRB,High income,Advanced
BLR,Upper middle income,Emerging
BEL,High income,Advanced
BLZ,Upper middle income,Emerging
BEN,Lower middle income,Developing
BMU,High income,Advanced
BTN,Lower middle income,Developing
BOL,Lower middle income,Developing
BIH,Upper middle income,Emerging
BWA,Upper middle income,Emerging
BRA,Upper middle income,Emerging
VGB,High income,Advanced
BRN,High income,Advanced
BGR,High income,Advanced
BFA,Low income,Least developed
BDI,Low income,Least developed
CPV,Upper middle income,Emerging
KHM,Lower middle income,Developing
CMR,Lower middle income,Developing
CAN,High income,Advanced
CYM,High income,Advanced
CAF,Low income,Least developed
TCD,Low income,Least developed
CHI,High income,Advanced
CHL,High income,Advanced
CHN,Upper middle income,Emerging
COL,Upper middle income,Emerging
COM,Lower middle income,Developing
COD,Low income,Least developed
COG,Lower middle income,Developing
CRI,High income,Advanced
CIV,Lower middle income,Developing
HRV,High income,Advanced
CUB,Upper middle income,Emerging
CUW,High income,Advanced
CYP,High income,Advanced
CZE,High income,Advanced
DNK,High income,Advanced
DJI,Lower middle income,Developing
DMA,Upper middle income,Emerging
DOM,Upper middle income,Emerging
ECU,Upper middle income,Emerging
EGY,Lower middle income,Developing
SLV,Upper middle income,Emerging
GNQ,Upper middle income,Emerging
ERI,Low income,Least developed
EST,High income,Advanced
SWZ,Lower middle income,Developing
ETH,,
FRO,High income,Advanced
FJI,Upper middle income,Emerging
FIN,High income,Advanced
FRA,High income,Advanced
PYF,High income,Advanced
GAB,Upper middle income,Emerging
GMB,Low income,Least developed
GEO,Upper middle income,Emerging
DEU,High income,Advanced
GHA,Lower middle income,Developing
GIB,High income,Advanced
GRC,High income,Advanced
GRL,High income,Advanced
GRD,Upper middle income,Emerging
GUM,High income,Advanced
GTM,Upper middle income,Emerging
GIN,Lower middle income,Developing
GNB,Low income,Least developed
GUY,High income,Advanced
HTI,Lower middle income,Developing
HND,Lower middle income,Developing
HKG,High income,Advanced
HUN,High income,Advanced
ISL,High income,Advanced
IND,Lower middle income,Developing
IDN,Upper middle income,Emerging
IRN,Upper middle income,Emerging
IRQ,Upper middle income,Emerging
IRL,High income,Advanced
IMN,High income,Advanced
ISR,High income,Advanced
ITA,High income,Advanced
JAM,Upper middle income,Emerging
JPN,High income,Advanced
JOR,Lower middle income,Developing
KAZ,Upper middle income,Emerging
KEN,Lower middle income,Developing
KIR,Lower middle income,Developing
PRK,Low income,Least developed
KOR,High income,Advanced
XKX,Upper middle income,Emerging
KWT,High income,Advanced
KGZ,Lower middle income,Developing
LAO,Lower middle income,Developing
LVA,High income,Advanced
LBN,Lower middle income,Developing
LSO,Lower middle income,Developing
LBR,Low income,Least developed
LBY,Upper middle income,Emerging
LIE,High income,Advanced
LTU,High income,Advanced
LUX,High income,Advanced
MAC,High income,Advanced
MDG,Low income,Least developed
MWI,Low income,Least developed
MYS,Upper middle income,Emerging
MDV,Upper middle income,Emerging
MLI,Low income,Least developed
MLT,High income,Advanced
MHL,Upper middle income,Emerging
MRT,Lower middle income,Developing
MUS,Upper middle income,Emerging
MEX,Upper middle income,Emerging
FSM,Lower middle income,Developing
