country,iso3,inform_risk,hazard_&_exposure,other_vulnerable_groups,risk_class
(a-z),(a-z),(0-10),(0-10),(0-10),(Very Low-Very High)
AFG,AFG,7.7,7.5,4.1,Very High
ALB,ALB,3,3.5,0.5,Low
DZA,DZA,3.4,3,0.4,Medium
AGO,AGO,5.3,4.2,4.6,High
ATG,ATG,2.1,2,1.7,Very Low
ARG,ARG,3.1,2.6,0.8,Low
ARM,ARM,3,2.6,0.8,Low
AUS,AUS,2.4,2.9,0.4,Low
AUT,AUT,2.4,1.4,0.1,Low
AZE,AZE,4.1,2.9,0.5,Medium
Bahamas,BHS,2.3,1.9,1.9,Low
BHR,BHR,1.7,1.8,0.5,Very Low
BGD,BGD,6.1,7.9,6.2,High
BRB,BRB,2,2.4,0.8,Very Low
BLR,BLR,2.5,2.1,0.4,Low
BEL,BEL,2.6,1.9,0.1,Low
BLZ,BLZ,3.1,2.1,0.9,Low
BEN,BEN,5.1,3.7,3.2,High
BTN,BTN,2.7,1.9,2,Low
BOL,BOL,4.2,3,6.3,Medium
BIH,BIH,3.3,2.2,0.5,Medium
BWA,BWA,2.9,1.3,4.1,Low
BRA,BRA,5.1,6.7,0.8,High
BRN,BRN,2.3,1.6,0.9,Low
BGR,BGR,2.6,1.9,0.7,Low
BFA,BFA,7.1,7.1,3.1,Very High
BDI,BDI,5.8,4.8,4.5,High
CPV,CPV,2.1,0.8,1.7,Very Low
KHM,KHM,4.4,3.2,1.8,Medium
CMR,CMR,6.6,6.6,2.8,High
CAN,CAN,2.7,2.8,0.2,Low
CAF,CAF,7.7,6.5,6,Very High
TCD,TCD,7.8,6.8,6.1,Very High
CHL,CHL,3.1,3.5,0.7,Low
CHN,CHN,2.9,5.7,0.4,Low
COL,COL,5.2,7.5,1.1,High
COM,COM,3.3,1,3.2,Medium
Congo,COG,4.7,2.6,4.8,Medium
Congo DR,COD,7.7,7.7,5.6,Very High
CRI,CRI,3.3,3.3,5.3,Medium
Côte d'Ivoire,CIV,4.5,2.3,2.9,Medium
HRV,HRV,2.5,2.7,0.4,Low
CUB,CUB,3.3,3.4,5.2,Medium
CYP,CYP,2.8,2.1,0.7,Low
Czech Republic,CZE,1.8,1,0.6,Very Low
DNK,DNK,1.3,1.4,0.3,Very Low
DJI,DJI,4.8,3.3,2.5,Medium
DMA,DMA,2.8,2.2,1.9,Low
DOM,DOM,4.2,4.5,1.4,Medium
ECU,ECU,5.4,6.8,2.2,High
Egypt,EGY,4.3,4.7,0.8,Medium
SLV,SLV,4,3.6,1.2,Medium
GNQ,GNQ,3.3,1.7,4.4,Medium
ERI,ERI,4.3,2.6,3,Medium
EST,EST,1.8,1.2,0.5,Very Low
SWZ,SWZ,3.2,1.6,2.9,Medium
ETH,ETH,6.9,7.3,3.5,Very High
FJI,FJI,3,2.8,3.4,Low
FIN,FIN,1.9,1.7,0.4,Very Low
FRA,FRA,2.6,2.8,0.3,Low
GAB,GAB,3.6,2.4,3.6,Medium
Gambia,GMB,4,2,3,Medium
GEO,GEO,3.3,3.4,1.5,Medium
DEU,DEU,2.6,2.4,0.2,Low
GHA,GHA,3.9,2.9,1.9,Medium
GRC,GRC,2.9,3,0.4,Low
GRD,GRD,2.6,1.7,5.9,Low
GTM,GTM,5.2,4.5,4.1,High
GIN,GIN,4.7,3.1,3.5,Medium
GNB,GNB,4.1,1.8,5,Medium
GUY,GUY,3.8,3,1.2,Medium
HTI,HTI,7.4,7.4,5.3,Very High
HND,HND,5.5,4.9,2.1,High
HUN,HUN,2.3,1.8,0.4,Low
ISL,ISL,1.6,1.3,0.2,Very Low
IND,IND,5.3,8,3.1,High
IDN,IDN,4.5,7.2,2.3,Medium
Iran,IRN,5.9,8,0.9,High
IRQ,IRQ,5.7,7.4,1.6,High
IRL,IRL,2.2,1.2,0.1,Low
ISR,ISR,2.9,5.2,0.1,Low
ITA,ITA,3,2.9,0.1,Low
JAM,JAM,3,3.1,1.9,Low
JPN,JPN,2,5.7,0.8,Very Low
JOR,JOR,3.9,2.8,1.7,Medium
KAZ,KAZ,2.7,2.7,0.5,Low
KEN,KEN,5.8,5.6,5.4,High
KIR,KIR,3.6,2.5,5.3,Medium
Korea DPR,PRK,4.6,4,5.3,Medium
