iso,year,Current account balance,Employment,General government gross debt,General government net debt,General government net lending/borrowing,General government primary net lending/borrowing,General government revenue,General government structural balance,General government total expenditure,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Gross domestic product corresponding to fiscal year, current prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices","Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, deflator",Gross national savings,Implied PPP conversion rate,"Inflation, average consumer prices","Inflation, end of period consumer prices",Output gap in percent of potential GDP,Population,Total investment,Unemployment rate,Volume of Imports of goods,Volume of exports of goods,Volume of exports of goods and services,Volume of imports of goods and services
ABW,1986,,,,,,,,,,0.003,0.726,27497.49,11925.2,1.674,0.726,43.368,,1.066,37.995,38.43,,0.061,,,,,,
ABW,1987,,,,,,,,,,0.004,0.873,32281.14,14503.78,1.943,0.873,44.93,,1.078,39.378,39.77,,0.06,,,,,,
ABW,1988,,,,,,,,,,0.004,1.068,38081.84,17640.42,2.305,1.068,46.322,,1.073,40.607,41.34,,0.061,,,,,,
ABW,1989,,,,,,,,,,0.005,1.245,41823.37,20148.53,2.583,1.245,48.175,,1.074,42.227,43.12,,0.062,,,,,,
ABW,1990,,,,,,,,,,0.005,1.369,41829.59,21320.31,2.686,1.369,50.969,,1.095,44.692,46.18,,0.064,,,,,,
ABW,1991,,,,,,,,,,0.005,1.561,43510.71,23419.09,2.9,1.561,53.824,,1.119,47.173,47.9,,0.067,,6.078,,,,
ABW,1992,,,,,,,,,,0.005,1.716,44501.38,24862.5,3.071,1.716,55.869,,1.135,48.999,50.04,,0.069,,6.431,,,,
ABW,1993,,,,,,,,,,0.005,1.939,44718.96,26308.21,3.295,1.939,58.83,,1.168,51.557,53.25,,0.074,,6.029,,,,
ABW,1994,,,,,,,,,,0.005,2.23,45950.49,28738.6,3.566,2.23,62.543,,1.216,54.797,55.74,,0.078,,5.071,,,,
ABW,1995,,,1.302,,-0.02,0.008,0.603,,0.622,0.005,2.364,45796.78,29618.45,3.655,2.364,64.674,29.56,1.231,56.667,57.48,,0.08,,6.003,,,,
ABW,1996,,,1.353,,-0.058,-0.027,0.62,,0.678,0.005,2.47,44575.73,29751.33,3.701,2.47,66.743,26.397,1.248,58.463,59.26,,0.083,,7.197,,,,
ABW,1997,,,1.4,,-0.058,-0.023,0.628,,0.685,0.005,2.742,45891.08,31774.42,3.96,2.742,69.239,26.537,1.273,60.22,60.91,,0.086,,6.209,,,,
ABW,1998,,,1.223,,0.003,0.043,0.646,,0.643,0.005,2.981,45666.21,33696.77,4.039,2.981,73.789,27.714,1.341,61.343,61.76,,0.088,,3.25,,,,
ABW,1999,-0.435,,1.212,,0.003,0.047,0.706,,0.703,0.005,3.084,45668.72,34394.87,4.095,3.084,75.314,26.185,1.35,62.738,64.06,,0.09,,4.793,,,,
ABW,2000,0.213,,1.295,,0.022,0.063,0.746,,0.725,0.005,3.353,48674.04,37019.24,4.409,3.353,76.055,29.193,1.333,65.294,66.33,,0.091,,6.923,,,,
ABW,2001,0.31,,1.505,,-0.028,0.019,0.736,,0.764,0.005,3.395,50237.55,37124.97,4.594,3.395,73.899,25.602,1.267,67.178,68.0,,0.091,,6.489,,,,
ABW,2002,-0.333,,1.653,,-0.111,-0.062,0.755,,0.866,0.005,3.512,49419.48,38140.0,4.55,3.512,77.176,22.528,1.302,69.405,70.83,,0.092,,8.131,,,,
ABW,2003,-0.167,,1.495,,0.069,0.115,0.989,,0.92,0.005,3.659,49402.52,39289.41,4.601,3.659,79.529,21.55,1.316,71.942,72.45,,0.093,,11.4,,,,
ABW,2004,0.274,,1.717,,-0.344,-0.258,0.836,,1.18,0.005,4.036,51886.03,42424.02,4.936,4.036,81.764,25.352,1.318,73.762,74.46,,0.095,,9.5,,,,
ABW,2005,0.116,,1.905,,-0.125,-0.04,0.909,,1.034,0.005,4.224,50365.8,43267.87,4.917,4.224,85.907,24.261,1.342,76.268,77.28,,0.098,,8.8,,,,
ABW,2006,0.314,,2.012,,-0.112,-0.015,0.985,,1.098,0.005,4.421,50026.39,44473.73,4.973,4.421,88.901,22.665,1.348,79.021,79.22,,0.099,,9.3,,,,
ABW,2007,0.259,,2.136,,-0.05,0.057,1.034,,1.084,0.004,4.793,51188.84,47858.47,5.127,4.793,93.494,21.897,1.38,83.279,87.08,,0.1,,5.71,,,,
ABW,2008,0.001,,2.051,,0.075,0.214,1.365,,1.291,0.004,5.089,51732.14,50428.01,5.221,5.089,97.479,24.051,1.411,90.741,85.46,,0.101,,6.9,,,,
ABW,2009,0.177,,2.23,,-0.12,-0.004,1.109,,1.229,0.004,4.571,45381.64,44991.09,4.611,4.571,99.139,17.923,1.427,88.802,91.25,,0.102,,10.3,,,,
ABW,2010,-0.46,,2.401,,-0.153,-0.026,1.184,,1.337,0.004,4.392,44039.74,43126.6,4.485,4.392,97.927,13.255,1.392,90.647,90.59,,0.102,,10.6,,,,
ABW,2011,-0.264,,2.802,,-0.304,-0.166,0.981,,1.284,0.004,4.722,45189.64,46025.26,4.636,4.722,101.849,12.481,1.419,94.613,96.14,,0.103,,8.879,,,,
ABW,2012,0.094,,3.068,,-0.419,-0.269,1.021,,1.44,0.003,4.681,44066.88,44964.35,4.588,4.681,102.037,13.084,1.395,95.153,92.57,,0.104,,9.607,,,,
ABW,2013,-0.326,,3.42,,-0.295,-0.131,1.143,,1.438,0.004,4.883,46206.21,46206.21,4.883,4.883,100.0,15.031,1.345,92.896,92.64,,0.106,,7.599,,,,
ABW,2014,-0.134,,3.882,,-0.373,-0.185,1.118,,1.49,0.003,4.996,44991.07,46772.22,4.805,4.996,103.959,16.78,1.374,93.288,94.68,,0.107,,7.451,,,,
ABW,2015,0.115,,3.934,,-0.078,0.122,1.267,,1.346,0.003,5.304,44255.35,49150.26,4.775,5.304,111.061,21.411,1.454,93.729,93.8,,0.108,,7.298,,,,
ABW,2016,0.136,,4.026,,-0.078,0.14,1.264,,1.342,0.003,5.341,44676.47,49120.4,4.858,5.341,109.947,21.976,1.426,92.858,92.98,,0.109,,7.694,,,,
ABW,2017,0.03,,4.197,,-0.143,0.08,1.216,,1.359,0.003,5.535,47822.0,50907.77,5.2,5.535,106.453,21.844,1.357,91.903,92.55,,0.109,,8.923,,,,
ABW,2018,-0.017,,4.299,,-0.155,0.066,1.303,,1.458,0.003,5.864,48883.28,53847.16,5.324,5.864,110.155,21.694,1.371,95.235,96.67,,0.109,,7.283,,,,
ABW,2019,0.006,,4.319,,-0.015,0.215,1.425,,1.44,0.003,6.078,47628.6,55662.4,5.201,6.078,116.868,23.564,1.423,98.985,100.13,,0.109,,5.2,,,,
ABW,2020,-0.425,,5.146,,-0.743,-0.509,1.1,,1.843,0.002,4.58,36411.38,42182.34,3.954,4.58,115.849,9.187,1.412,97.687,97.06,,0.109,,8.6,,,,
ABW,2021,-0.065,,5.656,,-0.509,-0.266,1.094,,1.603,0.003,5.555,46857.77,51575.51,5.047,5.555,110.068,19.079,1.364,98.413,100.6,,0.108,,8.8,,,,
ABW,2022,0.213,,5.716,,-0.03,0.216,1.346,,1.376,0.003,6.345,51946.63,59128.09,5.574,6.345,113.825,26.342,1.317,103.848,106.37,,0.107,,6.6,,,,
ABW,2023,0.191,,5.556,,0.182,0.446,1.714,,1.532,0.003,7.061,54674.77,65771.13,5.87,7.061,120.295,26.664,1.343,107.34,108.79,,0.107,,4.0,,,,
ABW,2024,0.265,,5.403,,0.179,0.485,1.799,,1.619,0.003,7.622,57735.93,71057.89,6.193,7.622,123.074,26.67,1.342,109.819,111.727,,0.107,,3.884,,,,
ABW,2025,0.259,,5.277,,0.151,0.451,1.824,,1.672,0.003,7.956,58965.07,74271.77,6.317,7.956,125.959,27.007,1.349,112.394,114.074,,0.107,,5.008,,,,
ABW,2026,0.255,,5.145,,0.159,0.418,1.883,,1.724,0.003,8.238,59882.34,77020.31,6.405,8.238,128.619,27.359,1.352,114.768,116.412,,0.107,,6.131,,,,
ABW,2027,0.227,,5.022,,0.149,0.404,1.942,,1.794,0.003,8.522,60831.0,79818.2,6.495,8.522,131.213,27.324,1.355,117.082,118.74,,0.107,,6.134,,,,
ABW,2028,0.193,,4.903,,0.145,0.399,2.003,,1.859,0.003,8.814,61815.99,82732.84,6.586,8.814,133.837,27.373,1.357,119.424,121.115,,0.107,,6.139,,,,
ABW,2029,0.152,,4.794,,0.135,0.388,2.066,,1.931,0.003,9.116,62834.24,85777.55,6.678,9.116,136.514,27.369,1.359,121.812,123.537,,0.106,,6.113,,,,
AFG,2002,1.481,,618.456,,-0.176,,12.235,,12.411,0.042,178.756,21594.23,8512.1,453.484,178.756,39.418,61.151,7.86,31.263,42.89,,21.0,27.243,,,,,
AFG,2003,1.348,,595.36,,-4.624,,21.618,,26.242,0.044,220.013,21766.38,9715.68,492.903,220.013,44.636,59.718,8.728,42.413,45.691,,22.645,30.102,,34.052,87.537,49.541,36.222
AFG,2004,1.915,,603.134,,-5.891,,31.209,,37.101,0.042,246.21,21067.28,10453.22,496.209,246.21,49.618,72.57,9.449,49.351,51.752,,23.554,35.354,,-2.824,-29.688,-8.436,-0.427
AFG,2005,1.864,,629.234,,-2.797,-2.652,44.926,,47.723,0.045,304.926,22731.78,12491.25,554.91,304.926,54.951,67.274,10.146,54.566,57.219,,24.411,37.048,,51.498,13.43,41.968,55.01
AFG,2006,1.444,,79.485,,2.364,2.504,65.518,,63.154,0.045,345.817,22979.19,13591.86,584.658,345.817,59.149,50.333,10.594,58.269,59.671,,25.443,29.489,,-0.766,-32.39,-6.919,-2.198
AFG,2007,5.424,,86.083,,-10.524,-10.393,81.163,,91.687,0.048,427.495,25581.69,16503.5,662.65,427.495,64.513,119.243,11.25,63.327,69.273,,25.903,55.852,,-15.536,36.241,-11.904,-10.21
AFG,2008,3.477,,98.622,,-19.994,-19.899,88.162,,108.156,0.049,517.509,26043.15,19582.45,688.247,517.509,75.192,63.99,12.865,80.057,82.306,,26.427,30.222,,-3.34,51.104,-6.742,-8.267
AFG,2009,5.018,,98.658,,-10.691,-10.578,117.745,,128.435,0.059,607.227,30305.45,22173.46,829.924,607.227,73.167,78.09,12.441,74.604,74.211,,27.385,36.503,,28.869,-21.282,30.013,31.064
AFG,2010,4.51,,54.784,,6.643,6.726,154.612,,147.969,0.061,711.759,31925.04,25248.94,899.956,711.759,79.088,59.699,13.287,76.229,81.814,,28.19,30.269,,33.079,-2.105,11.218,31.901
AFG,2011,4.754,,62.726,,-5.618,-4.794,177.821,,183.439,0.063,836.222,32762.18,28589.63,958.266,836.222,87.264,52.981,14.364,85.227,89.433,,29.249,26.407,,7.665,-9.939,2.5,12.397
AFG,2012,2.205,,69.865,,1.882,2.66,260.571,,258.689,0.069,1033.59,35846.55,33925.53,1092.12,1033.59,94.641,36.204,15.294,90.717,94.687,,30.466,25.34,,36.24,10.366,-19.506,31.697
AFG,2013,0.291,,77.111,,-7.047,-6.075,271.903,,278.95,0.071,1116.83,36592.7,35408.51,1154.18,1116.83,96.764,24.538,15.375,97.417,101.543,,31.541,23.093,,7.502,5.197,-40.138,3.405
AFG,2014,1.35,,102.928,,-20.334,-19.935,280.187,,300.521,0.07,1183.04,36229.94,36160.64,1185.31,1183.04,99.809,24.009,15.587,101.97,103.053,,32.716,17.46,,-16.015,35.436,51.847,-14.249
AFG,2015,0.744,,112.281,,-16.898,-16.27,301.356,,318.255,0.069,1226.57,35463.36,36339.04,1197.01,1226.57,102.469,22.176,15.856,101.296,104.218,,33.753,18.467,,24.734,15.431,-10.234,16.629
AFG,2016,1.627,,103.181,,1.556,2.35,344.327,,342.771,0.068,1222.92,35307.47,35307.47,1222.92,1222.92,100.0,28.312,15.328,105.736,109.0,,34.636,19.283,,-8.264,12.188,-16.004,-8.394
