episode,total_reward,steps,terminated,truncated
0,-137.5953725142732,36,False,True
1,-91.3992738788258,36,False,True
2,-108.18542548810561,36,False,True
3,-115.43444365714184,36,False,True
4,-136.99544502268216,36,False,True
5,-102.52188254043861,36,False,True
6,-115.08546874604797,36,False,True
7,-64.46769774004737,36,False,True
8,-112.5685026224692,36,False,True
9,-95.23095785107935,36,False,True
10,-72.54834618045943,36,False,True
11,-82.52419752757459,23,True,False
12,-113.49900770235053,36,False,True
13,-101.46766337742625,28,True,False
14,-67.66723967398468,36,False,True
15,-79.11206287706246,36,False,True
16,-123.3355244531218,36,False,True
17,-71.20192888388584,36,False,True
18,-94.53106536567424,36,False,True
19,-102.900258941623,36,False,True
20,-84.2331029417193,36,False,True
21,-79.72898773418791,25,True,False
22,-67.01103940879362,14,True,False
23,-76.89180112317645,36,False,True
24,-100.54919529699306,36,False,True
25,-75.15744459877277,36,False,True
26,-121.77461964085644,36,False,True
27,-79.90735593077187,36,False,True
28,-78.9498938455087,36,False,True
29,-69.95439552608163,20,True,False
30,-113.54504194940996,36,False,True
31,-93.75802465637776,36,False,True
32,-87.62254488435984,36,False,True
33,-126.43470848727605,36,False,True
34,-116.35417411560628,36,False,True
35,-94.31533028328445,36,False,True
36,-71.1324918232234,20,True,False
37,-96.32012173215399,36,False,True
38,-102.37732754732943,36,False,True
39,-135.240718249631,36,False,True
40,-73.4959555399526,36,False,True
41,-80.26456083329545,36,False,True
42,-97.8270850844759,36,False,True
43,-115.826030629928,31,True,False
44,-124.93893056587821,36,False,True
45,-128.20731073091753,36,False,True
46,-95.79433884856692,36,False,True
47,-110.20951787119705,36,False,True
48,-81.32216813759523,18,True,False
49,-128.22030387385155,36,False,True
