episode,total_reward,steps,terminated,truncated
0,-150.44585527790977,36,False,True
1,-126.40847346792621,36,False,True
2,-110.74818373506749,36,False,True
3,-136.5554979845908,36,False,True
4,-157.75700916178084,36,False,True
5,-110.96368307490273,36,False,True
6,-131.7134804284589,36,False,True
7,-98.47710786505974,36,False,True
8,-145.11869510351826,36,False,True
9,-126.77409536508715,36,False,True
10,-117.07666491537857,36,False,True
11,-136.41013956648248,36,False,True
12,-159.49965931516917,36,False,True
13,-152.3329346129173,36,False,True
14,-142.507578569577,36,False,True
15,-113.22662180573414,36,False,True
16,-131.853536112928,36,False,True
17,-142.5463291437126,36,False,True
18,-85.73019914824371,36,False,True
19,-146.7054721645992,36,False,True
20,-117.50768718096566,36,False,True
21,-163.79021968162903,36,False,True
22,-89.31374706822056,36,False,True
23,-130.61096677092863,36,False,True
24,-139.09567005106948,36,False,True
25,-139.48684620825762,36,False,True
26,-138.45578623010135,36,False,True
27,-171.86153560507853,36,False,True
28,-155.92441957633378,36,False,True
29,-111.87169207855018,36,False,True
30,-110.2651355454855,36,False,True
31,-123.01221888460661,36,False,True
32,-146.3581094421876,36,False,True
33,-142.2568251137637,36,False,True
34,-143.268702042507,36,False,True
35,-158.66606823695977,36,False,True
36,-137.3284487612929,36,False,True
37,-103.96579883114788,36,False,True
38,-103.64354462131244,36,False,True
39,-89.33192912359583,36,False,True
40,-144.40806635837538,36,False,True
41,-111.08100073773745,36,False,True
42,-128.93456097354482,36,False,True
43,-107.33974265449338,36,False,True
44,-146.87342654535976,36,False,True
45,-87.63076645748261,36,False,True
46,-131.7668997096522,36,False,True
47,-125.8041319650641,36,False,True
48,-121.30657459648666,36,False,True
49,-90.69634635000813,36,False,True
