Variable,Economy Type,N,Mean,Std,Median,Min,Max
Debt-to-GDP (%),Advanced,2198,111.55707873961589,1342.362856289089,41.4183525,0.0,38959.67
Debt-to-GDP (%),Emerging Market,1672,1127.3980603021962,23700.790908206156,40.5023515,0.006,939054.36
Debt-to-GDP (%),Developing,2347,6609.990375377385,129248.9202196688,52.53409,0.0,3815418.73
Debt-to-GDP (%),All,6329,2792.5002982992287,79692.65168492001,45.271477,0.0,3815418.73
GDP Growth (% y/y),Advanced,2280,2.8389593216827094,5.780786816595657,2.7975312491321014,-54.33622909635116,82.80164469020276
GDP Growth (% y/y),Emerging Market,1762,3.403710431313364,8.40256171168422,3.5183142110852494,-50.3386345049902,147.9723234618291
GDP Growth (% y/y),Developing,2438,3.7632172484080657,5.423830587718787,4.204949298837224,-50.31907800742928,58.078100510636
GDP Growth (% y/y),All,6603,2.0924438709476614,52.28977595371346,3.549890996324079,-3317.676767676768,700.0
Primary Balance (% GDP),Advanced,1956,-335.29021983640087,4281.460450851709,-0.0275,-52647.73,40776.27
Primary Balance (% GDP),Emerging Market,1489,-9689.829184016118,127670.58795532215,-0.02,-2751010.33,102827.3
Primary Balance (% GDP),Developing,2194,-838.7563605287147,11266.52068183449,-2.189,-212725.97,160625.88
Primary Balance (% GDP),All,5731,-2953.30268522073,65602.13727069477,-0.191,-2751010.33,160625.88
"Inflation, CPI (% y/y)",Advanced,2272,90.1202718797488,42.854284893654054,90.958,-3.20416248186588,1020.62056524354
"Inflation, CPI (% y/y)",Emerging Market,1735,394047855827.70935,3300152214907.305,92.656,0.001,45767099134128.9
"Inflation, CPI (% y/y)",Developing,2438,656.9041883420309,12179.412579870204,88.7995,0.001,502912.47
"Inflation, CPI (% y/y)",All,6568,104172556872.40982,1704679075692.1274,90.4005,-3.20416248186588,45767099134128.9
Output Gap (% pot. GDP),Advanced,916,-0.3746932314410481,2.8394041021871077,-0.1855,-18.453,11.362
Output Gap (% pot. GDP),Emerging Market,0,,,,,
Output Gap (% pot. GDP),Developing,0,,,,,
Output Gap (% pot. GDP),All,916,-0.3746932314410481,2.8394041021871077,-0.1855,-18.453,11.362
ND-GAIN Vulnerability,Advanced,1697,0.3599237884045934,0.05939979514206425,0.353028381356803,0.251030071399067,0.569198237536058
ND-GAIN Vulnerability,Emerging Market,1493,0.42755819066056894,0.05880961268441345,0.418251585088095,0.312964882021052,0.625617885264408
ND-GAIN Vulnerability,Developing,2038,0.5242586382792217,0.0692093626792052,0.5287855172906515,0.307323995717812,0.675043155361104
ND-GAIN Vulnerability,All,5286,0.44363907225698035,0.09436998965863397,0.433263977571565,0.251030071399067,0.675043155361104
ND-GAIN Readiness,Advanced,1777,0.5389793941525709,0.11803780648826726,0.525901131044785,0.145479247900725,0.80720201180239
ND-GAIN Readiness,Emerging Market,1493,0.3865448580149194,0.07548292417111897,0.37683517978703,0.208356690364067,0.635732537656899
ND-GAIN Readiness,Developing,2038,0.30742347166926187,0.061927425017796266,0.3035958032908165,0.114829052881759,0.502965114985649
ND-GAIN Readiness,All,5366,0.4056526256277215,0.13244163410996704,0.374681791954684,0.114829052881759,0.80720201180239
Climate Damage ('000 USD),Advanced,843,3243153.4756820877,18213770.42963653,3921.0,0.0,255492013.0
Climate Damage ('000 USD),Emerging Market,716,1177809.6452513966,5172325.402477194,0.0,0.0,58445238.0
Climate Damage ('000 USD),Developing,1161,283291.54349698534,1767462.0495921907,0.0,0.0,32034157.0
Climate Damage ('000 USD),All,2762,1415375.0329471398,10536194.391843658,0.0,0.0,255492013.0
Disaster Count,Advanced,843,3.0059311981020165,4.25200390706129,2.0,1.0,43.0
Disaster Count,Emerging Market,716,3.467877094972067,4.536142530102499,2.0,1.0,34.0
Disaster Count,Developing,1161,2.7889750215331612,3.1795817986066517,2.0,1.0,30.0
Disaster Count,All,2762,3.0228095582910934,3.9000349647773582,2.0,1.0,43.0
