Profile,Strategy,Mean Terminal Debt,Median Terminal Debt,Mean Cumul. Reward,Crisis Rate (%),Mean Growth (%),Act0-Severe(%),Act1-Moderate(%),Act2-Maintain(%),Act3-Moderate(%),Act4-Large(%),Act5-Climate(%)
Advanced_Low,Random,190.0,216.4,-672.1,77.0,2.47,16.9,16.4,15.7,17.3,16.9,16.7
Advanced_Low,Bohn,156.8,208.5,-562.0,59.5,2.35,26.0,17.2,16.2,10.2,20.8,9.6
Advanced_Low,SGP,161.0,208.9,-567.2,62.5,2.42,4.2,7.8,77.4,3.3,0.4,6.9
Advanced_Low,Passive,170.3,209.7,-571.9,65.0,2.33,0.0,0.0,100.0,0.0,0.0,0.0
Advanced_Low,DQN,42.7,1.8,-244.4,13.5,2.53,24.9,11.0,58.7,1.4,4.0,0.0
Advanced_Low,PPO,15.5,0.0,-243.3,5.5,2.42,55.0,19.9,5.3,18.0,1.8,0.0
Advanced_Medium,Random,178.5,213.4,-680.2,68.5,3.45,16.8,16.3,16.9,16.5,16.9,16.7
Advanced_Medium,Bohn,154.6,206.8,-601.8,59.0,3.75,28.1,15.8,15.8,9.3,21.7,9.2
Advanced_Medium,SGP,163.0,207.7,-621.9,63.5,3.49,0.8,15.1,74.9,3.1,0.4,5.6
Advanced_Medium,Passive,165.5,205.7,-624.6,60.5,3.6,0.0,0.0,100.0,0.0,0.0,0.0
Advanced_Medium,DQN,25.8,5.6,-243.0,2.5,3.49,29.0,16.2,0.1,0.0,0.0,54.7
Advanced_Medium,PPO,4.7,0.0,-264.1,2.0,3.47,45.2,27.8,19.8,0.0,0.0,7.2
Advanced_High,Random,124.4,135.0,-433.3,45.5,1.48,17.4,17.9,16.2,15.9,16.9,15.7
Advanced_High,Bohn,119.4,83.4,-399.1,40.5,1.35,28.5,13.4,13.7,8.9,28.0,7.5
Advanced_High,SGP,166.5,211.8,-532.8,64.5,1.48,0.0,3.3,88.3,2.8,0.2,5.4
Advanced_High,Passive,117.5,77.4,-377.1,43.0,1.3,0.0,0.0,100.0,0.0,0.0,0.0
Advanced_High,DQN,2.1,0.0,-137.3,0.0,1.39,14.6,26.2,1.6,0.2,0.0,57.3
Advanced_High,PPO,0.2,0.0,-120.7,0.0,1.39,9.8,1.4,88.8,0.0,0.0,0.0
Emerging_Market_Low,Random,217.2,228.9,-677.2,86.5,4.08,15.7,16.2,15.8,17.8,18.1,16.5
Emerging_Market_Low,Bohn,206.4,222.1,-687.0,82.5,4.5,25.1,16.4,16.3,11.7,21.7,8.9
Emerging_Market_Low,SGP,212.0,225.3,-699.5,85.5,3.89,0.2,14.4,74.0,3.7,0.4,7.3
Emerging_Market_Low,Passive,215.6,222.8,-697.8,86.5,4.36,0.0,0.0,100.0,0.0,0.0,0.0
Emerging_Market_Low,DQN,39.3,0.0,-332.4,15.0,3.78,44.6,10.7,43.7,0.1,0.9,0.0
Emerging_Market_Low,PPO,32.6,0.0,-336.1,13.0,3.85,73.8,7.5,11.7,6.9,0.0,0.0
Emerging_Market_Medium,Random,201.3,224.0,-855.8,78.0,3.31,16.6,17.6,15.6,16.9,16.2,17.1
Emerging_Market_Medium,Bohn,193.2,218.5,-821.5,76.0,3.45,31.8,11.5,11.2,8.3,30.2,7.1
Emerging_Market_Medium,SGP,193.9,218.9,-841.2,76.0,3.51,0.0,14.6,74.7,3.9,0.5,6.4
Emerging_Market_Medium,Passive,189.3,220.3,-783.9,73.5,3.49,0.0,0.0,100.0,0.0,0.0,0.0
Emerging_Market_Medium,DQN,41.0,0.0,-652.3,14.0,3.02,33.0,39.0,0.0,0.0,0.0,28.0
Emerging_Market_Medium,PPO,105.3,1.2,-712.1,43.5,3.3,38.8,39.6,2.9,18.4,0.0,0.3
Emerging_Market_High,Random,156.6,210.0,-553.5,60.5,2.47,16.8,17.1,16.5,15.9,16.7,17.0
Emerging_Market_High,Bohn,165.7,209.9,-588.7,67.0,2.35,24.6,15.4,14.8,11.3,25.0,9.0
Emerging_Market_High,SGP,166.4,208.4,-558.2,65.0,2.45,0.0,4.2,85.9,3.1,0.4,6.4
Emerging_Market_High,Passive,156.4,207.0,-514.7,61.5,2.4,0.0,0.0,100.0,0.0,0.0,0.0
Emerging_Market_High,DQN,8.1,0.0,-162.4,1.5,2.42,20.3,7.5,63.0,0.0,4.3,5.0
Emerging_Market_High,PPO,2.4,0.0,-158.5,1.0,2.44,15.6,15.2,58.5,0.0,0.0,10.7
Developing_Low,Random,188.5,216.8,-723.3,75.5,5.47,17.1,18.1,16.1,17.0,14.9,16.8
Developing_Low,Bohn,207.2,220.3,-800.3,85.5,5.26,13.6,19.3,25.7,10.7,17.6,13.0
Developing_Low,SGP,205.8,223.1,-771.0,82.5,5.3,2.5,15.1,70.2,2.5,5.6,4.1
Developing_Low,Passive,192.4,217.0,-719.5,76.5,5.31,0.0,0.0,100.0,0.0,0.0,0.0
Developing_Low,DQN,26.1,0.0,-406.3,11.5,4.92,77.1,2.7,4.8,15.3,0.1,0.0
Developing_Low,PPO,28.8,0.0,-431.0,13.0,4.81,68.1,25.0,5.5,0.0,0.2,1.1
Developing_Medium,Random,189.8,214.9,-619.8,77.5,4.39,15.8,15.5,16.5,17.7,18.1,16.4
Developing_Medium,Bohn,183.7,214.2,-609.2,74.0,4.37,12.4,20.4,32.1,9.7,10.7,14.7
Developing_Medium,SGP,185.7,213.8,-641.2,76.5,4.42,4.2,17.4,67.2,2.1,5.4,3.6
Developing_Medium,Passive,189.5,216.6,-623.8,77.5,4.34,0.0,0.0,100.0,0.0,0.0,0.0
Developing_Medium,DQN,44.8,0.0,-192.3,19.0,4.23,45.3,5.3,37.3,9.1,2.6,0.4
Developing_Medium,PPO,32.8,0.0,-210.5,14.5,4.26,92.4,1.3,6.2,0.1,0.0,0.0
Developing_High,Random,214.0,222.7,-627.1,85.0,4.46,16.0,16.4,16.2,17.3,17.8,16.3
Developing_High,Bohn,206.6,225.4,-611.9,81.0,4.38,22.6,18.1,24.4,10.4,11.4,13.1
Developing_High,SGP,197.8,217.9,-608.8,76.0,4.56,7.7,17.0,68.7,1.0,2.8,2.7
Developing_High,Passive,197.5,221.3,-596.3,79.0,4.46,0.0,0.0,100.0,0.0,0.0,0.0
Developing_High,DQN,74.2,0.0,-370.5,30.5,4.43,91.3,1.1,0.0,0.0,0.0,7.6
Developing_High,PPO,95.0,0.0,-413.7,38.0,4.6,71.0,28.9,0.0,0.0,0.0,0.2
