Profile,Algorithm,Climate Multiplier,Mean Terminal Debt,Crisis Rate (%),Mean Reward,Action 5 (%):
Advanced_Low,DQN,0.5,26.5,7.5,-175.7,0.0
Advanced_Low,DQN,1.0,42.7,13.5,-244.4,0.0
Advanced_Low,DQN,1.5,49.5,16.5,-280.5,0.0
Advanced_Low,DQN,2.0,51.9,15.5,-293.0,0.0
Advanced_Low,DQN,3.0,74.0,23.5,-371.0,0.0
Advanced_Low,PPO,0.5,13.4,4.0,-209.0,0.0
Advanced_Low,PPO,1.0,15.5,5.5,-243.3,0.0
Advanced_Low,PPO,1.5,21.2,8.5,-253.8,0.0
Advanced_Low,PPO,2.0,17.2,7.0,-250.8,0.0
Advanced_Low,PPO,3.0,32.1,13.5,-307.9,0.0
Developing_High,DQN,0.5,77.4,31.0,-382.3,11.1
Developing_High,DQN,1.0,74.2,30.5,-370.5,7.6
Developing_High,DQN,1.5,78.6,32.5,-398.3,7.8
Developing_High,DQN,2.0,64.0,26.5,-407.5,9.1
Developing_High,DQN,3.0,79.6,32.5,-460.5,7.1
Developing_High,PPO,0.5,86.7,36.0,-396.1,0.1
Developing_High,PPO,1.0,95.0,38.0,-413.7,0.2
Developing_High,PPO,1.5,80.6,33.5,-390.6,0.0
Developing_High,PPO,2.0,82.7,33.5,-438.8,0.1
Developing_High,PPO,3.0,83.5,34.5,-467.2,0.0
Emerging_Market_Medium,DQN,0.5,50.0,18.5,-616.5,23.5
Emerging_Market_Medium,DQN,1.0,41.0,14.0,-652.3,28.0
Emerging_Market_Medium,DQN,1.5,32.0,11.5,-697.2,28.7
Emerging_Market_Medium,DQN,2.0,43.0,16.5,-753.6,30.6
Emerging_Market_Medium,DQN,3.0,42.5,15.0,-867.6,32.2
Emerging_Market_Medium,PPO,0.5,97.5,37.5,-688.6,0.1
Emerging_Market_Medium,PPO,1.0,105.3,43.5,-712.1,0.3
Emerging_Market_Medium,PPO,1.5,99.3,38.0,-789.0,0.3
Emerging_Market_Medium,PPO,2.0,107.7,41.5,-871.4,0.2
Emerging_Market_Medium,PPO,3.0,76.0,30.0,-895.4,0.5
