Profile,Algorithm,Episode Length,Mean Terminal Debt,Crisis Rate (%),Mean Reward,Action 5 (%):
Advanced_Low,DQN,20,40.7,11.5,-202.9,0.0
Advanced_Low,DQN,30,42.7,13.5,-244.4,0.0
Advanced_Low,DQN,50,49.0,16.5,-394.8,0.0
Advanced_Low,PPO,20,18.2,7.0,-188.2,0.0
Advanced_Low,PPO,30,15.5,5.5,-243.3,0.0
Advanced_Low,PPO,50,16.5,5.0,-378.2,0.0
Developing_High,DQN,20,53.9,22.5,-276.9,6.4
Developing_High,DQN,30,74.2,30.5,-370.5,7.6
Developing_High,DQN,50,81.6,33.0,-473.7,11.4
Developing_High,PPO,20,88.4,36.5,-338.5,0.1
Developing_High,PPO,30,95.0,38.0,-413.7,0.2
Developing_High,PPO,50,83.0,33.0,-487.1,0.1
Emerging_Market_Medium,DQN,20,41.2,14.0,-460.8,24.6
Emerging_Market_Medium,DQN,30,41.0,14.0,-652.3,28.0
Emerging_Market_Medium,DQN,50,43.9,16.5,-986.1,31.1
Emerging_Market_Medium,PPO,20,98.7,39.0,-584.1,0.2
Emerging_Market_Medium,PPO,30,105.3,43.5,-712.1,0.3
Emerging_Market_Medium,PPO,50,114.0,46.5,-1002.9,0.1
