episode,epsilon,total_reward,steps,terminated,truncated
0,1.0,-139.5337669868604,36,False,True
1,0.9999049904990499,-97.00757496008995,36,False,True
2,0.9998099809980998,-105.9877927354731,36,False,True
3,0.9997149714971497,-109.6094826151752,36,False,True
4,0.9996199619961996,-333.0271375835763,34,True,False
5,0.9995249524952495,-119.15434354695368,36,False,True
6,0.9994299429942994,-114.40532158597289,36,False,True
7,0.9993349334933493,-110.25242033887938,36,False,True
8,0.9992399239923992,-279.9710892660462,23,True,False
9,0.9991449144914492,-156.35199983165188,36,False,True
10,0.9990499049904991,-124.30147360886092,36,False,True
11,0.998954895489549,-72.08895465230938,36,False,True
12,0.9988598859885989,-106.6226271165065,36,False,True
13,0.9987648764876488,-60.10118042539968,36,False,True
14,0.9986698669866987,-103.18311947171047,36,False,True
15,0.9985748574857486,-105.77408165522893,36,False,True
16,0.9984798479847985,-81.27242572269394,36,False,True
17,0.9983848384838484,-127.06605274281794,36,False,True
18,0.9982898289828983,-64.46252185539534,36,False,True
19,0.9981948194819482,-97.88361788492867,36,False,True
20,0.9980998099809981,-71.32427586841648,36,False,True
21,0.998004800480048,-132.50081961194067,36,False,True
22,0.9979097909790979,-110.04455400510986,36,False,True
23,0.9978147814781478,-148.4276413109536,36,False,True
24,0.9977197719771977,-104.08903985315646,36,False,True
25,0.9976247624762477,-332.60452020277313,29,True,False
26,0.9975297529752976,-105.26140938302642,36,False,True
27,0.9974347434743475,-136.03358671587569,36,False,True
28,0.9973397339733974,-161.15934210270333,36,False,True
29,0.9972447244724473,-121.51138545721324,36,False,True
30,0.9971497149714972,-107.7258162399758,36,False,True
31,0.9970547054705471,-114.78752349901455,36,False,True
32,0.996959695969597,-113.74161756754255,36,False,True
33,0.9968646864686469,-87.95073213697935,36,False,True
34,0.9967696769676968,-141.2926645900609,36,False,True
35,0.9966746674667467,-136.00177821843982,36,False,True
36,0.9965796579657966,-293.5367895381911,21,True,False
37,0.9964846484648465,-312.90882353324616,29,True,False
38,0.9963896389638964,-77.7852773654398,36,False,True
39,0.9962946294629463,-86.12592489751071,36,False,True
40,0.9961996199619962,-80.06742379429744,36,False,True
41,0.9961046104610461,-117.91357577843227,36,False,True
42,0.996009600960096,-79.00707681686312,36,False,True
43,0.995914591459146,-107.07984890366373,36,False,True
44,0.9958195819581959,-73.78465411298895,36,False,True
45,0.9957245724572458,-132.13134085121155,36,False,True
46,0.9956295629562957,-72.35483309164417,36,False,True
47,0.9955345534553456,-285.397365973295,24,True,False
48,0.9954395439543955,-97.7977533100763,36,False,True
49,0.9953445344534454,-119.18109714324245,36,False,True
50,0.9952495249524953,-82.36726905127672,36,False,True
51,0.9951545154515452,-85.52467755557117,36,False,True
52,0.9950595059505951,-130.91694801070244,36,False,True
53,0.994964496449645,-249.10621156899745,12,True,False
54,0.9948694869486949,-79.60741656964159,36,False,True
55,0.9947744774477447,-87.85228150621774,36,False,True
56,0.9946794679467946,-330.4694431812518,30,True,False
57,0.9945844584458445,-321.5247178381793,33,True,False
58,0.9944894489448944,-314.97770815505334,36,True,True
59,0.9943944394439443,-102.31068542434812,36,False,True
60,0.9942994299429943,-148.41545526342304,36,False,True
61,0.9942044204420442,-144.48733649851818,36,False,True
62,0.9941094109410941,-128.96230548789225,36,False,True
63,0.994014401440144,-116.14972674440918,36,False,True
64,0.9939193919391939,-90.31084937652088,36,False,True
65,0.9938243824382438,-146.3426264705488,36,False,True
66,0.9937293729372937,-119.13717996487622,36,False,True
67,0.9936343634363436,-313.3368169082736,32,True,False
68,0.9935393539353935,-306.07047704935286,23,True,False
69,0.9934443444344434,-135.73440676970526,36,False,True
70,0.9933493349334933,-68.83133038050396,36,False,True
71,0.9932543254325432,-108.3995306488337,36,False,True
72,0.9931593159315931,-316.3642877811518,29,True,False
73,0.993064306430643,-92.03427750603852,36,False,True
74,0.9929692969296929,-278.9565418322353,18,True,False
75,0.9928742874287428,-99.50180828746687,36,False,True
76,0.9927792779277927,-103.57183815061829,36,False,True
77,0.9926842684268427,-91.25629420716312,36,False,True
78,0.9925892589258926,-341.5179666911713,29,True,False
79,0.9924942494249425,-126.53678397549025,36,False,True
80,0.9923992399239924,-77.31617490625293,36,False,True
81,0.9923042304230423,-128.56148919511924,36,False,True
82,0.9922092209220922,-125.05422972539276,36,False,True
83,0.9921142114211421,-125.72767850867051,36,False,True
84,0.992019201920192,-86.45222637131786,36,False,True
85,0.9919241924192419,-288.9207195401577,25,True,False
86,0.9918291829182918,-132.34326938988062,36,False,True
87,0.9917341734173417,-117.70651035336951,36,False,True
88,0.9916391639163916,-82.14389367886557,36,False,True
89,0.9915441544154415,-111.58624394435475,36,False,True
90,0.9914491449144914,-102.18830855361603,36,False,True
91,0.9913541354135413,-131.10314108511156,36,False,True
92,0.9912591259125912,-86.62327343393328,36,False,True
93,0.9911641164116411,-118.48588418714314,36,False,True
94,0.9910691069106911,-294.1512743740238,25,True,False
95,0.990974097409741,-309.59628853371765,28,True,False
96,0.9908790879087909,-81.36763343295048,36,False,True
97,0.9907840784078408,-90.56433283732646,36,False,True
98,0.9906890689068907,-106.24088124945997,36,False,True
99,0.9905940594059406,-75.10231223831218,36,False,True
100,0.9904990499049905,-99.21524878931181,36,False,True
101,0.9904040404040404,-110.63035392096934,36,False,True
102,0.9903090309030903,-68.31111187951052,36,False,True
103,0.9902140214021402,-91.68673140761126,36,False,True
104,0.9901190119011901,-110.65669571482529,36,False,True
105,0.99002400240024,-145.1119094794657,36,False,True
106,0.9899289928992899,-82.72159568191364,36,False,True
107,0.9898339833983398,-95.90188590150375,36,False,True
108,0.9897389738973897,-332.9641157130254,35,True,False
109,0.9896439643964396,-130.20720305678185,36,False,True
110,0.9895489548954896,-307.5547369641416,29,True,False
111,0.9894539453945395,-84.44613081756746,36,False,True
112,0.9893589358935894,-89.14323102563509,36,False,True
113,0.9892639263926393,-90.59510542688622,36,False,True
114,0.9891689168916892,-292.7125774645597,22,True,False
115,0.9890739073907391,-125.98024451548865,36,False,True
116,0.988978897889789,-282.48077181904983,21,True,False
117,0.9888838883888389,-308.3413202224469,25,True,False
118,0.9887888788878888,-103.23175455831144,36,False,True
119,0.9886938693869387,-130.13696150371214,36,False,True
120,0.9885988598859886,-285.13530786112483,21,True,False
121,0.9885038503850385,-102.88732953494322,36,False,True
122,0.9884088408840884,-291.5687040603414,24,True,False
123,0.9883138313831383,-130.77092907937111,36,False,True
124,0.9882188218821882,-101.73591777372528,36,False,True
125,0.9881238123812381,-97.57776902340967,36,False,True
126,0.988028802880288,-305.6800173131821,30,True,False
127,0.987933793379338,-100.73853373769619,36,False,True
128,0.9878387838783879,-87.64811684633824,36,False,True
