t,action,reward,debt_ratio,gdp_growth,inflation,climate_shock,terminated,truncated,episode
0,0,-3.2289710188426657,1.301990032196045,0.00033712846925482154,0.07231926918029785,0.16067935526371002,False,False,0
1,2,-3.181645918334271,1.3346222639083862,0.009679058566689491,0.08297733962535858,0.13161396980285645,False,False,0
2,0,-3.286423329031327,1.3618947267532349,0.008224566467106342,0.08370458334684372,0.1454491764307022,False,False,0
3,1,-3.2981788167520376,1.343354344367981,-0.0032350525725632906,0.0787045806646347,0.14596189558506012,False,False,0
4,0,-3.3915399532454313,1.3711272478103638,-0.004789631348103285,0.07948186993598938,0.15545785427093506,False,False,0
5,2,-3.385255991797685,1.403924584388733,0.004511035978794098,0.09018120169639587,0.13986653089523315,False,False,0
6,1,-3.5067391956095193,1.3856871128082275,-0.007251448929309845,0.08518119901418686,0.1762484759092331,False,False,0
7,2,-3.6524592377555907,1.4198787212371826,0.001700639957562089,0.09622911363840103,0.20958223938941956,False,False,0
8,2,-3.735019187935844,1.4543099403381348,0.010592823848128319,0.10733693093061447,0.2215631604194641,False,False,0
9,2,-3.91637434292951,1.4896175861358643,0.019265921786427498,0.11866383254528046,0.2653803825378418,False,False,0
10,1,-4.00870861324274,1.472511649131775,0.006371865049004555,0.11366382986307144,0.2894056737422943,False,False,0
11,0,-4.045152636288989,1.5061930418014526,0.0036355960182845592,0.11503196507692337,0.2736268937587738,False,False,0
12,3,-3.9823402855090757,1.521193027496338,0.005635595880448818,0.11703196167945862,0.24468941986560822,False,False,0
13,0,-4.002188495166082,1.552489161491394,0.0033763665705919266,0.11816157400608063,0.22592294216156006,False,False,0
14,2,-4.160919725584383,1.5877346992492676,0.012064984068274498,0.12947295606136322,0.26227644085884094,False,False,0
15,3,-4.060426380867649,1.6027346849441528,0.014064984396100044,0.13147296011447906,0.2207786589860916,False,False,0
16,3,-3.9477887323759644,1.617734670639038,0.01606498472392559,0.1334729641675949,0.17523278295993805,False,False,0
17,3,-3.790505035877097,1.6327346563339233,0.018064985051751137,0.13547296822071075,0.11480489373207092,False,False,0
18,3,-3.8045337255273877,1.6477346420288086,0.020064985379576683,0.1374729722738266,0.11148113757371902,False,False,0
19,1,-3.8288052287601677,1.6289031505584717,0.008896532468497753,0.13247297704219818,0.11684525012969971,False,False,0
20,3,-3.6942558392532705,1.643903136253357,0.0108965327963233,0.13447298109531403,0.06399541348218918,False,False,0
21,2,-3.727321147140918,1.6751717329025269,0.020579375326633453,0.1447901427745819,0.06343140453100204,False,False,0
22,0,-3.8595330238294743,1.6996418237686157,0.019685368984937668,0.14523714780807495,0.08940067887306213,False,False,0
23,1,-3.930148580696925,1.6807454824447632,0.008581728674471378,0.14023715257644653,0.11036399751901627,False,False,0
24,1,-4.006586772581433,1.6620728969573975,-0.002745731035247445,0.13523715734481812,0.13274598121643066,False,False,0
25,3,-3.94936059770067,1.6770728826522827,-0.0007457310566678643,0.13723716139793396,0.10567060858011246,False,False,0
26,3,-4.046108853202451,1.692072868347168,0.0012542689219117165,0.1392371654510498,0.12992003560066223,False,False,0
27,3,-3.9135314783142485,1.7070728540420532,0.003254269016906619,0.14123716950416565,0.07772758603096008,False,False,0
28,1,-3.902494835775464,1.6877964735031128,-0.007469334173947573,0.13623717427253723,0.07236030697822571,False,False,0
29,2,-3.893601376198215,1.718955397605896,0.0022409302182495594,0.14652690291404724,0.057947125285863876,False,False,0
30,0,-4.0328677151121255,1.7432767152786255,0.00137666508089751,0.14695903658866882,0.0864265114068985,False,False,0
31,1,-4.173595916508874,1.7245796918869019,-0.00992629211395979,0.1419590413570404,0.13029567897319794,False,False,0
32,3,-4.067340692788338,1.739579677581787,-0.007926291786134243,0.14395904541015625,0.0868772566318512,False,False,0
33,1,-4.026743671246091,1.7202963829040527,-0.01864301785826683,0.13895905017852783,0.07167255878448486,False,False,0
34,0,-4.031650421967938,1.7431433200836182,-0.019212398678064346,0.1392437368631363,0.05693812295794487,False,False,0
35,1,-4.126255740523376,1.7240078449249268,-0.03007695823907852,0.13424374163150787,0.08645590394735336,False,True,0
0,3,-2.0154001771160885,0.952151894569397,0.023633910343050957,0.06401590257883072,0.033744700253009796,False,False,1
1,1,-2.0698443302123857,0.9326589703559875,0.013126814737915993,0.059015903621912,0.05070953816175461,False,False,1
2,1,-2.114840719444667,0.9133010506629944,0.0024847136810421944,0.054015904664993286,0.06421010941267014,False,False,1
3,3,-2.038522644194386,0.9283010363578796,0.004484713543206453,0.05601590499281883,0.030770767480134964,False,False,1
4,2,-2.1819697297525003,0.959639310836792,0.014150145463645458,0.06635047495365143,0.06691363453865051,False,False,1
5,3,-2.1060933472683323,0.9746392965316772,0.01615014486014843,0.06835047155618668,0.03362150117754936,False,False,1
6,0,-2.2474337613752575,0.9978387355804443,0.015510255470871925,0.06867041438817978,0.06398890912532806,False,False,1
7,3,-2.157515866212873,1.0128387212753296,0.01751025579869747,0.07067041099071503,0.02601628191769123,False,False,1
8,3,-2.103466985538602,1.0278387069702148,0.019510256126523018,0.07267040759325027,0.0,False,False,1
9,2,-2.2224532873279204,1.0584174394607544,0.02936556376516819,0.08281510323286057,0.028938647359609604,False,False,1
10,0,-2.175637266561389,1.078417420387268,0.02936556376516819,0.08281510323286057,0.0,False,False,1
11,1,-2.1768955093879088,1.0584214925765991,0.01936146430671215,0.07781510055065155,0.00040986351086758077,False,False,1
12,2,-2.205665864720941,1.0884214639663696,0.029361464083194733,0.08781509846448898,0.0,False,False,1
13,1,-2.2056658044457436,1.068421483039856,0.01936146430671215,0.08281509578227997,0.0,False,False,1
14,0,-2.251182350694422,1.0885087251663208,0.019344007596373558,0.08282382786273956,0.0017457325011491776,False,False,1
15,0,-2.464782019084905,1.1113383769989014,0.018778067082166672,0.08310680091381073,0.05659397318959236,False,False,1
16,3,-2.3190000204145904,1.1263383626937866,0.020778067409992218,0.08510679751634598,0.0,False,False,1
17,3,-2.3429999833703037,1.1413383483886719,0.022778067737817764,0.08710679411888123,0.0,False,False,1
18,2,-2.3729999463260176,1.1713383197784424,0.032778069376945496,0.09710679203271866,0.0,False,False,1
19,2,-2.402999876737595,1.201338291168213,0.04277807101607323,0.10710678994655609,0.0,False,False,1
20,2,-2.4787637774051086,1.2316359281539917,0.05270365625619888,0.1171812042593956,0.014882591553032398,False,False,1
21,0,-2.608318849866222,1.2537593841552734,0.05227896198630333,0.11739355325698853,0.04246926307678223,False,False,1
22,0,-2.754138215980002,1.2774497270584106,0.05154090002179146,0.11776258051395416,0.07380606234073639,False,False,1
23,0,-2.9127565899294523,1.3028301000595093,0.05046483501791954,0.11830060929059982,0.10760647803544998,False,False,1
24,1,-2.918871552025371,1.283901572227478,0.039393387734889984,0.11330060660839081,0.10714472830295563,False,False,1
25,0,-2.9637838104900265,1.3090652227401733,0.03836064413189888,0.11381697654724121,0.10327417403459549,False,False,1
26,2,-3.1114275381176886,1.3418455123901367,0.04766557738184929,0.12451204657554626,0.13901345431804657,False,False,1
27,0,-3.187134096668369,1.369009256362915,0.046232834458351135,0.1252284198999405,0.14327432215213776,False,False,1
28,3,-2.9763223775899554,1.3840092420578003,0.04823283478617668,0.12722842395305634,0.06500373035669327,False,False,1
29,0,-2.9508873181304502,1.4060595035552979,0.04782278463244438,0.12743344902992249,0.04100511223077774,False,False,1
30,3,-2.8518719820082183,1.421059489250183,0.04982278496026993,0.12943345308303833,0.0,False,False,1
31,0,-2.9706027984013903,1.4423052072525024,0.049573637545108795,0.1295580267906189,0.024914821609854698,False,False,1
32,2,-3.0463601309635115,1.4730889797210693,0.059377700090408325,0.13975396752357483,0.03918759524822235,False,False,1
33,2,-3.173746523338282,1.5044870376586914,0.06902819126844406,0.15010347962379456,0.06990215927362442,False,False,1
34,2,-3.2003251613646015,1.535828709602356,0.07869277149438858,0.1604388952255249,0.06708458065986633,False,False,1
35,3,-3.1185936663603218,1.5508286952972412,0.08069276809692383,0.16243889927864075,0.031840771436691284,False,True,1
0,3,-2.4887128470242024,1.1793135404586792,0.0023193431552499533,0.0708412230014801,0.0,False,False,2
1,0,-2.528712811144069,1.1993135213851929,0.0023193431552499533,0.0708412230014801,0.0,False,False,2
2,2,-2.5587127729970964,1.2293134927749634,0.012319343164563179,0.08084122091531754,0.0,False,False,2
3,3,-2.582712711557746,1.2443134784698486,0.014319343492388725,0.08284121751785278,0.0,False,False,2
4,3,-2.606712674513459,1.2593134641647339,0.01631934382021427,0.08484121412038803,0.0,False,False,2
5,0,-2.6794970799245577,1.2798322439193726,0.016215596348047256,0.08489308506250381,0.010374823585152626,False,False,2
6,0,-2.7983319020168786,1.3015720844268799,0.015867624431848526,0.08506707102060318,0.03479722514748573,False,False,2
7,2,-2.9028841570530046,1.3327358961105347,0.02557665854692459,0.09535803645849228,0.05819316208362579,False,False,2
