t,action,reward,debt_ratio,gdp_growth,inflation,climate_shock,terminated,truncated,episode
0,2,-3.2053132736630303,1.3071696758270264,0.011140525341033936,0.08231926709413528,0.16067935526371002,False,False,0
1,1,-3.1273301472147232,1.2884857654571533,-0.00017561436106916517,0.07731926441192627,0.13161396980285645,False,False,0
2,2,-3.2097443658794704,1.3213948011398315,0.009097139351069927,0.08804651349782944,0.1454491764307022,False,False,0
3,1,-3.2214999614073845,1.3028544187545776,-0.0023624796885997057,0.08304651081562042,0.14596189558506012,False,False,0
4,1,-3.260869890423384,1.2844090461730957,-0.01391705870628357,0.07804650813341141,0.15545785427093506,False,False,0
5,2,-3.2545860017088946,1.3172063827514648,-0.004616391379386187,0.0887458398938179,0.13986653089523315,False,False,0
6,1,-3.3760692055207286,1.2989689111709595,-0.016378875821828842,0.08374583721160889,0.1762484759092331,False,False,0
7,2,-3.521789245338493,1.3331605195999146,-0.007426787167787552,0.09479375183582306,0.20958223938941956,False,False,0
8,1,-3.573241380881319,1.3153761625289917,-0.01964241825044155,0.08979374915361404,0.2215631604194641,False,False,0
9,1,-3.7232697322669304,1.2980300188064575,-0.03229622170329094,0.08479374647140503,0.2653803825378418,False,False,0
10,2,-3.847051052198794,1.3338180780410767,-0.023743249475955963,0.09624077379703522,0.2894056737422943,False,False,0
11,1,-3.8188685336133004,1.316554307937622,-0.03647951781749725,0.0912407711148262,0.2736268937587738,False,False,0
12,1,-3.902684258245817,1.2995011806488037,-0.04942641034722328,0.08624076843261719,0.294689416885376,False,False,0
13,2,-3.897078986895014,1.335019588470459,-0.04080602526664734,0.09762038290500641,0.2759229242801666,False,False,0
14,1,-4.027998719374679,1.318142294883728,-0.053928788751363754,0.0926203802227974,0.3122764229774475,False,False,0
15,1,-4.0759597361088,1.3013501167297363,-0.06713657826185226,0.08762037754058838,0.32077863812446594,False,False,0
16,1,-4.112088475209503,1.284602403640747,-0.08038890361785889,0.08262037485837936,0.32523277401924133,False,False,0
17,2,-4.134415104725451,1.3208985328674316,-0.07196293026208878,0.09419439733028412,0.31480488181114197,False,False,0
18,1,-4.29974755615796,1.3045133352279663,-0.08557774126529694,0.0891943946480751,0.3614811301231384,False,False,0
19,1,-4.341519070258066,1.2881817817687988,-0.09924619644880295,0.08419439196586609,0.3668452501296997,False,False,0
20,2,-4.390269232267624,1.325461745262146,-0.09106617420911789,0.0960143655538559,0.36399540305137634,False,False,0
21,1,-4.390515039172927,1.309096097946167,-0.10000000149011612,0.09101436287164688,0.3634313941001892,False,False,0
22,1,-4.426210944029332,1.2929900884628296,-0.10000000149011612,0.08601436018943787,0.3894006609916687,False,False,0
23,2,-4.549878152242083,1.3311973810195923,-0.09205181896686554,0.09806618094444275,0.41036397218704224,False,False,0
24,1,-4.6154198945435345,1.3155248165130615,-0.10000000149011612,0.09306617826223373,0.43274596333503723,False,False,0
25,1,-4.643307181694917,1.300081491470337,-0.10000000149011612,0.08806617558002472,0.4556705951690674,False,False,0
26,1,-4.826653804150171,1.2853807210922241,-0.10000000149011612,0.0830661728978157,0.5299200415611267,False,False,0
27,2,-4.889656137969644,1.3259352445602417,-0.09263864159584045,0.0957048088312149,0.5277276039123535,False,False,0
28,1,-4.87080827934434,1.3111588954925537,-0.10000000149011612,0.09070480614900589,0.5223603248596191,False,False,0
29,1,-4.787727775179912,1.2962384223937988,-0.10000000149011612,0.08570480346679688,0.5079471468925476,False,False,0
30,2,-4.9433980375989455,1.3369669914245605,-0.0926821306347847,0.09838693588972092,0.5364265441894531,False,False,0
31,1,-5.073200907801224,1.3227699995040894,-0.10000000149011612,0.0933869332075119,0.580295741558075,False,False,0
32,1,-5.054683365265056,1.3086388111114502,-0.10000000149011612,0.08838693052530289,0.5868773460388184,False,False,0
33,1,-4.970502891497933,1.2943555116653442,-0.10000000149011612,0.08338692784309387,0.5716726779937744,False,False,0
34,2,-4.998069979150797,1.3354942798614502,-0.09278469532728195,0.09617161750793457,0.5569382309913635,False,False,0
35,1,-5.084428958909605,1.3213587999343872,-0.10000000149011612,0.09117161482572556,0.5864560008049011,False,True,0
0,2,-2.1776810295533533,0.9688268303871155,0.031215187162160873,0.07243462651968002,0.08374469727277756,False,False,1
1,2,-2.2661288041694827,1.0008410215377808,0.04071164131164551,0.08293817192316055,0.10070953518152237,False,False,1
2,2,-2.3451962669400688,1.0331252813339233,0.050140589475631714,0.09350921958684921,0.1142101064324379,False,False,1
3,2,-2.4346861547913847,1.065740704536438,0.05948673561215401,0.10416307300329208,0.1307707577943802,False,False,1
4,2,-2.5856332620021294,1.0990790128707886,0.06865216791629791,0.11499764025211334,0.16691362857818604,False,False,1
5,2,-2.6795285639167004,1.13275146484375,0.07773406058549881,0.1259157508611679,0.18362149596214294,False,False,1
6,2,-2.8166800047593137,1.1670312881469727,0.086664117872715,0.1369856894016266,0.21398890018463135,False,False,1
7,2,-2.899713402961715,1.2015515565872192,0.09553403407335281,0.14811576902866364,0.22601626813411713,False,False,1
8,2,-3.0256386940209565,1.2364453077316284,0.10000000149011612,0.15933921933174133,0.24468985199928284,False,False,1
9,2,-3.2061359753887784,1.2719178199768066,0.10000000149011612,0.1707073599100113,0.27362850308418274,False,False,1
10,2,-3.1969875366636002,1.3067160844802856,0.10000000149011612,0.18190692365169525,0.23991382122039795,False,False,1
11,1,-3.215039720933496,1.2891193628311157,0.08759676665067673,0.17690692842006683,0.24032367765903473,False,False,1
12,2,-3.250422180692003,1.3238435983657837,0.09641570597887039,0.18808798491954803,0.23621249198913574,False,False,1
13,1,-3.2388163372597463,1.3061140775680542,0.08414524793624878,0.18308798968791962,0.2270461618900299,False,False,1
14,1,-3.2600690104951173,1.2884019613265991,0.07185732573270798,0.1780879944562912,0.22879189252853394,False,False,1
15,2,-3.4758866883888553,1.3240747451782227,0.08043912798166275,0.1895061880350113,0.28364014625549316,False,False,1
16,1,-3.4466984297671703,1.3067513704299927,0.06776247918605804,0.18450619280338287,0.26766520738601685,False,False,1
17,1,-3.5853133536694086,1.289818525314331,0.05469534546136856,0.17950619757175446,0.3067135512828827,False,False,1
18,2,-3.513822152228634,1.3251430988311768,0.06336420774459839,0.1908373385667801,0.26622745394706726,False,False,1
19,1,-3.532315208428728,1.3078049421310425,0.050702400505542755,0.18583734333515167,0.2661809027194977,False,False,1
20,1,-3.596637497049704,1.2906155586242676,0.03789176419377327,0.18083734810352325,0.2810634970664978,False,False,1
21,2,-3.732546256034089,1.3267885446548462,0.046348512172698975,0.19238059222698212,0.3086501657962799,False,False,1
22,1,-3.8503556898936626,1.3101884126663208,0.03294864296913147,0.1873805969953537,0.3399869501590729,False,False,1
23,1,-3.9779220218279585,1.2939262390136719,0.01921076886355877,0.18238060176372528,0.37378737330436707,False,False,1
24,2,-4.0345361222330105,1.331392765045166,0.02734414115548134,0.19424723088741302,0.3733256161212921,False,False,1
25,1,-4.048786327475712,1.3150873184204102,0.0136495903134346,0.1892472356557846,0.3694550693035126,False,False,1
26,1,-4.184367798010784,1.2991392612457275,-0.0004023531510028988,0.1842472404241562,0.40519434213638306,False,False,1
27,2,-4.2578595471938305,1.337328314781189,0.007550370879471302,0.19629451632499695,0.40945520997047424,False,False,1
28,1,-4.199730592044949,1.321140170097351,-0.006261475384235382,0.19129452109336853,0.3811846077442169,False,False,1
29,1,-4.152737752667641,1.3047120571136475,-0.019833335652947426,0.1862945258617401,0.3571859896183014,False,False,1
30,1,-4.123759276802949,1.2881081104278564,-0.03322935849428177,0.1812945306301117,0.33960241079330444,False,False,1
31,2,-4.255842566415716,1.3253984451293945,-0.025051943957805634,0.19311711192131042,0.3645172417163849,False,False,1
32,1,-4.325176176251839,1.309186339378357,-0.03883984312415123,0.188117116689682,0.378790020942688,False,False,1
33,1,-4.445985193160528,1.2932814359664917,-0.05293488875031471,0.1831171214580536,0.40950459241867065,False,False,1
34,2,-4.4980341236635315,1.3314151763916016,-0.04496832564473152,0.19515055418014526,0.40668702125549316,False,False,1
35,1,-4.57180375016968,1.3156296014785767,-0.05918275937438011,0.19015055894851685,0.42144322395324707,False,True,1
0,2,-2.6460036532361184,1.1952975988388062,0.010073341429233551,0.07908722758293152,0.04920026287436485,False,False,2
1,2,-2.6752284333146337,1.226252555847168,0.019834600389003754,0.08932597190141678,0.047748126089572906,False,False,2
2,2,-2.6292433339719987,1.2566900253295898,0.02972523495554924,0.09943533688783646,0.021872935816645622,False,False,2
3,2,-2.7365570386457616,1.287619709968567,0.03949282318353653,0.10966774821281433,0.046482108533382416,False,False,2
4,2,-2.7574909183015293,1.3184677362442017,0.04928082227706909,0.11987974494695663,0.04240003973245621,False,False,2
5,1,-2.792309681310432,1.2989954948425293,0.038753073662519455,0.11487974226474762,0.052774861454963684,False,False,2
6,2,-2.9013666841600396,1.3305394649505615,0.04836708679795265,0.12526573240756989,0.07719726115465164,False,False,2
7,1,-2.978596073783638,1.3115453720092773,0.037361156195402145,0.12026572972536087,0.1005931943655014,False,False,2
8,1,-3.077619497730749,1.2928509712219238,0.026055607944726944,0.11526572704315186,0.13055475056171417,False,False,2
9,2,-3.1390759288377934,1.3256030082702637,0.035367608070373535,0.12595373392105103,0.13760018348693848,False,False,2
10,1,-3.1404222327963964,1.3069519996643066,0.02401859499514103,0.12095373123884201,0.1349012404680252,False,False,2
11,1,-3.17322324784295,1.288377046585083,0.012593498453497887,0.115953728556633,0.14250969886779785,False,False,2
12,2,-3.089004780501793,1.3204147815704346,0.022084049880504608,0.1264631748199463,0.10188966244459152,False,False,2
13,1,-2.9935578683729682,1.3010995388031006,0.011399286799132824,0.12146317213773727,0.06847628951072693,False,False,2
14,1,-2.9072305623861032,1.2814874649047852,0.0010113337775692344,0.11646316945552826,0.03879529982805252,False,False,2
15,2,-2.8788941269578054,1.311864972114563,0.010916944593191147,0.12655755877494812,0.018877895548939705,False,False,2
16,1,-2.94773468442954,1.2922736406326294,0.0005082333809696138,0.1215575560927391,0.04087112098932266,False,False,2
17,2,-2.9280194807310904,1.322747826576233,0.010389699600636959,0.1316760927438736,0.023706749081611633,False,False,2
18,1,-2.9255502890905483,1.3029714822769165,0.00016608087753411382,0.12667609751224518,0.02236187271773815,False,False,2
19,1,-3.077474630660206,1.2836848497390747,-0.010547306388616562,0.12167609483003616,0.0713387206196785,False,False,2
20,2,-3.1107096356563995,1.3150978088378906,-0.0009005604078993201,0.13202935457229614,0.07065080106258392,False,False,2
21,1,-3.2142802719778207,1.2961255311965942,-0.011928322724997997,0.12702935934066772,0.10277626663446426,False,False,2
22,2,-3.1966121836195804,1.327820897102356,-0.002352161332964897,0.13745319843292236,0.08476773649454117,False,False,2
23,1,-3.214325149694014,1.3087069988250732,-0.013238207437098026,0.13245320320129395,0.08860460668802261,False,False,2
24,1,-3.163730552513189,1.2894080877304077,-0.02393924631178379,0.12745320796966553,0.07010394334793091,False,False,2
25,2,-3.198462647502126,1.3208067417144775,-0.014288910664618015,0.1378028690814972,0.0699329525232315,False,False,2
26,1,-3.311450318621186,1.3018581867218018,-0.025340331718325615,0.13280287384986877,0.10514219850301743,False,False,2
27,1,-3.1904241181632176,1.2824914455413818,-0.03597355633974075,0.12780287861824036,0.06332258880138397,False,False,2
28,2,-3.295998971699309,1.314218521118164,-0.0264053326100111,0.13823466002941132,0.0863552987575531,False,False,2
29,1,-3.3546392415056974,1.2952533960342407,-0.03744020685553551,0.1332346647977829,0.10348736494779587,False,False,2
30,2,-3.368340469743168,1.3271666765213013,-0.02791852131485939,0.14371298253536224,0.09566286951303482,False,False,2
31,1,-3.272555005703464,1.3077894449234009,-0.03854133188724518,0.13871298730373383,0.062281135469675064,False,False,2
32,1,-3.314257737442845,1.2885339260101318,-0.049285780638456345,0.1337129920721054,0.07444502413272858,False,False,2
33,2,-3.331745486153761,1.319905161857605,-0.03962858021259308,0.1440557986497879,0.06856024265289307,False,False,2
34,1,-3.388674246087901,1.3007605075836182,-0.05048398673534393,0.13905580341815948,0.0855405256152153,False,False,2
35,1,-3.4273745519216954,1.2817224264144897,-0.061445947736501694,0.13405580818653107,0.09619609266519547,False,True,2
0,2,-2.6204946440314743,1.1169248819351196,0.021785618737339973,0.035773370414972305,0.14134211838245392,False,False,3
1,2,-2.8172304788554596,1.150767207145691,0.03082503005862236,0.04673396050930023,0.19211775064468384,False,False,3
2,2,-2.9694282806848933,1.1853106021881104,0.03968917578458786,0.057869814336299896,0.22717109322547913,False,False,3
3,2,-3.0801374210007717,1.2202681303024292,0.048449788242578506,0.06910920143127441,0.24787722527980804,False,False,3
4,2,-3.2944678817049287,1.2563036680221558,0.05694090574979782,0.08061808347702026,0.30177631974220276,False,False,3
5,2,-3.268187765695353,1.2918258905410767,0.06556034088134766,0.09199865162372589,0.2761134207248688,False,False,3
6,2,-3.290629069755674,1.3271642923355103,0.07422573864459991,0.1033332571387291,0.26692086458206177,False,False,3
7,1,-3.2546758157889597,1.3096555471420288,0.06173450127243996,0.09833325445652008,0.24912358820438385,False,False,3
8,1,-3.26691302975171,1.2921298742294312,0.049260206520557404,0.09333325177431107,0.24742929637432098,False,False,3
9,2,-3.2192210086436646,1.3264524936676025,0.05817956477403641,0.10441389679908752,0.21612870693206787,False,False,3
10,1,-3.3235474895462533,1.3089042901992798,0.04572773352265358,0.09941389411687851,0.24518322944641113,False,False,3
11,1,-3.3509435050167338,1.2913894653320312,0.033242568373680115,0.0944138914346695,0.24851654469966888,False,False,3
12,2,-3.2946503659486126,1.3256772756576538,0.042170606553554535,0.10548585653305054,0.21439234912395477,False,False,3
13,1,-3.246822910044963,1.3076164722442627,0.030231356620788574,0.10048585385084152,0.19392497837543488,False,False,3
14,1,-3.3199721780490137,1.2897497415542603,0.018098052591085434,0.09548585116863251,0.21333038806915283,False,False,3
